Date,Time,Humidity,Voltage,Temperature
16/02,Morning,WET +,0.92,17
16/02,Morning,WET +,0.91,17
16/02,Morning,WET +,0.96,17
16/02,Morning,WET +,1,17
16/02,Morning,WET +,1.02,17
16/02,Night,WET,0.86,20
16/02,Night,WET,0.87,20
16/02,Night,WET,0.89,20
16/02,Night,WET,0.88,20
16/02,Night,WET,0.84,20
17/02,Morning,WET,0.76,19
17/02,Morning,WET,0.75,19
17/02,Morning,WET,0.8,19
17/02,Morning,WET,0.79,19
17/02,Morning,WET,0.93,19
17/02,Night,NOR,1,21
17/02,Night,NOR,1.12,21
17/02,Night,NOR,1.33,21
17/02,Night,NOR,1.33,21
17/02,Night,NOR,1.16,21
18/02,Morning,DRY,1.11,19
18/02,Morning,DRY,1.09,19
18/02,Morning,DRY,1.08,19
18/02,Morning,DRY,1.09,19
18/02,Morning,DRY,1.14,19
18/02,Night,DRY +,1.12,21
18/02,Night,DRY +,1.22,21
18/02,Night,DRY +,1.22,21
18/02,Night,DRY +,1.31,21
18/02,Night,DRY +,0.77,21
19/02,Morning,WET +,0.59,20
19/02,Morning,WET +,0.58,20
19/02,Morning,WET +,0.57,20
19/02,Morning,WET +,0.58,20
19/02,Morning,WET +,0.59,20
19/02,Night,WET,0.56,21
19/02,Night,WET,0.62,21
19/02,Night,WET,0.6,21
19/02,Night,WET,0.58,21
19/02,Night,WET,0.6,21
20/02,Morning,NOR,0.68,20
20/02,Morning,NOR,0.7,20
20/02,Morning,NOR,0.72,20
20/02,Morning,NOR,0.75,20
20/02,Morning,NOR,0.83,20
20/02,Night,DRY,0.7,21
20/02,Night,DRY,0.63,21
20/02,Night,DRY,0.71,21
20/02,Night,DRY,0.67,21
20/02,Night,DRY,0.68,21
21/02,Morning,DRY,0.85,20
21/02,Morning,DRY,0.78,20
21/02,Morning,DRY,0.79,20
21/02,Morning,DRY,0.75,20
21/02,Morning,DRY,0.9,20
21/02,Night,DRY+,0.88,21
21/02,Night,DRY+,0.85,21
21/02,Night,DRY+,0.88,21
21/02,Night,DRY+,0.93,21
21/02,Night,DRY+,0.9,21
22/02,Morning,WET +,0.6,19
22/02,Morning,WET +,0.6,19
22/02,Morning,WET +,0.59,19
22/02,Morning,WET +,0.63,19
22/02,Morning,WET +,0.61,19
22/02,Night,WET +,0.6,21
22/02,Night,WET +,0.6,21
22/02,Night,WET +,0.57,21
22/02,Night,WET +,0.58,21
22/02,Night,WET +,0.58,21
23/02,Morning,WET,0.86,20
23/02,Morning,WET,0.88,20
23/02,Morning,WET,0.86,20
23/02,Morning,WET,0.84,20
23/02,Morning,WET,0.42,20
23/02,Night,NOR,0.42,21
23/02,Night,NOR,0.37,21
23/02,Night,NOR,0.37,21
23/02,Night,NOR,0.36,21
23/02,Night,NOR,0.35,21
24/02,Morning,NOR,0.57,18
24/02,Morning,NOR,0.43,18
24/02,Morning,NOR,0.61,18
24/02,Morning,NOR,0.42,18
24/02,Morning,NOR,0.63,18
24/02,Night,DRY,0.54,19
24/02,Night,DRY,0.4,19
24/02,Night,DRY,0.35,19
24/02,Night,DRY,0.15,19
24/02,Night,DRY,0.46,19
25/02,Morning,WET +,0.32,18
25/02,Morning,WET +,0.33,18
25/02,Morning,WET +,0.32,18
25/02,Morning,WET +,0.3,18
25/02,Morning,WET +,0.31,18
