Date,Time,Humidity,Voltage,Temperature
16/02,Morning,WET +,1.12,17
16/02,Morning,WET +,1.17,17
16/02,Morning,WET +,1.15,17
16/02,Morning,WET +,1.16,17
16/02,Morning,WET +,1.09,17
16/02,Night,WET,0.74,20
16/02,Night,WET,0.72,20
16/02,Night,WET,0.72,20
16/02,Night,WET,0.68,20
16/02,Night,WET,0.67,20
17/02,Morning,WET,1.15,19
17/02,Morning,WET,1.18,19
17/02,Morning,WET,1.15,19
17/02,Morning,WET,1.16,19
17/02,Morning,WET,1.15,19
17/02,Night,NOR,1.32,21
17/02,Night,NOR,1.4,21
17/02,Night,NOR,1.28,21
17/02,Night,NOR,1.25,21
17/02,Night,NOR,1.41,21
18/02,Morning,DRY,0.93,19
18/02,Morning,DRY,0.96,19
18/02,Morning,DRY,0.89,19
18/02,Morning,DRY,1.43,19
18/02,Morning,DRY,1.41,19
18/02,Night,DRY +,0.86,21
18/02,Night,DRY +,0.82,21
18/02,Night,DRY +,0.81,21
18/02,Night,DRY +,0.81,21
18/02,Night,DRY +,0.79,21
19/02,Morning,WET +,0.7,20
19/02,Morning,WET +,1.01,20
19/02,Morning,WET +,0.76,20
19/02,Morning,WET +,0.66,20
19/02,Morning,WET +,0.64,20
19/02,Night,WET,0.67,21
19/02,Night,WET,1.09,21
19/02,Night,WET,1.08,21
19/02,Night,WET,1.06,21
19/02,Night,WET,1.05,21
20/02,Morning,NOR,1.07,20
20/02,Morning,NOR,1.05,20
20/02,Morning,NOR,0.72,20
20/02,Morning,NOR,0.78,20
20/02,Morning,NOR,1.07,20
20/02,Night,DRY,0.74,21
20/02,Night,DRY,0.74,21
20/02,Night,DRY,1.09,21
20/02,Night,DRY,0.77,21
20/02,Night,DRY,1.13,21
21/02,Morning,DRY,1.02,20
21/02,Morning,DRY,0.97,20
21/02,Morning,DRY,0.97,20
21/02,Morning,DRY,0.95,20
21/02,Morning,DRY,1.41,20
21/02,Night,DRY+,1.05,21
21/02,Night,DRY+,1.04,21
21/02,Night,DRY+,1.02,21
21/02,Night,DRY+,0.98,21
21/02,Night,DRY+,1.35,21
22/02,Morning,WET +,0.49,19
22/02,Morning,WET +,0.5,19
22/02,Morning,WET +,0.51,19
22/02,Morning,WET +,0.5,19
22/02,Morning,WET +,0.5,19
22/02,Night,WET +,0.56,21
22/02,Night,WET +,0.97,21
22/02,Night,WET +,0.61,21
22/02,Night,WET +,0.56,21
22/02,Night,WET +,0.57,21
23/02,Morning,WET,0.54,20
23/02,Morning,WET,0.55,20
23/02,Morning,WET,1,20
23/02,Morning,WET,0.97,20
23/02,Morning,WET,1,20
23/02,Night,NOR,0.97,21
23/02,Night,NOR,0.7,21
23/02,Night,NOR,0.62,21
23/02,Night,NOR,1.06,21
23/02,Night,NOR,0.65,21
24/02,Morning,NOR,0.54,18
24/02,Morning,NOR,0.54,18
24/02,Morning,NOR,0.55,18
24/02,Morning,NOR,0.5,18
24/02,Morning,NOR,0.51,18
24/02,Night,DRY,0.95,19
24/02,Night,DRY,0.62,19
24/02,Night,DRY,0.68,19
24/02,Night,DRY,0.95,19
24/02,Night,DRY,1.01,19
25/02,Morning,WET +,0.99,18
25/02,Morning,WET +,1,18
25/02,Morning,WET +,0.99,18
25/02,Morning,WET +,0.98,18
25/02,Morning,WET +,1,18
